Model,Dataset,Accuracy,Precision,Recall,F1-Score,AUC-ROC
RF,CM1,0.8652,0.25,0.1,0.1429,0.681
SVM,CM1,0.7303,0.25,0.7,0.3684,0.7975
MLP,CM1,0.8876,0.0,0.0,0.0,0.7101
CodeBERT,CM1,0.8876,0.0,0.0,0.0,0.6873
RF,PC1,0.9005,0.3077,0.2857,0.2963,0.8277
SVM,PC1,0.7749,0.2041,0.7143,0.3175,0.8093
MLP,PC1,0.9267,0.5,0.1429,0.2222,0.7785
CodeBERT,PC1,0.9267,0.0,0.0,0.0,0.7147
RF,JM1,0.7448,0.4346,0.4378,0.4362,0.7084
SVM,JM1,0.6983,0.3794,0.5323,0.4431,0.7091
MLP,JM1,0.7897,0.6392,0.1542,0.2485,0.7066
CodeBERT,JM1,0.7757,0.5172,0.0746,0.1304,0.6607
RF,KC1,0.7078,0.4231,0.3492,0.3826,0.6096
SVM,KC1,0.6255,0.3409,0.4762,0.3974,0.6145
MLP,KC1,0.7284,0.4286,0.1429,0.2143,0.5996
CodeBERT,KC1,0.7407,0.0,0.0,0.0,0.5798
